Sample name,algorithm,Total,Duplodnaviria,Monodnaviria,Riboviria,Varidnaviria
DT25_CNAT_1D_June_2022,rnaSPAdes,14817,834,305,12729,949
DT25_CNAT_1H_Sept_2021,rnaSPAdes,16608,837,359,14440,972
DT25_CNAT_2D_August_2022,rnaSPAdes,13552,1272,558,9748,1974
DT25_CNAT_2D_June_2022,rnaSPAdes,16385,673,284,14689,739
DT25_CNAT_2H_August_2022,rnaSPAdes,15045,1534,610,11376,1525
DT25_CNAT_2H_June_2022,rnaSPAdes,17071,1068,391,14378,1234
DT25_CNAT_2H_Sept_2021,rnaSPAdes,21914,936,494,19389,1095
DT25_CNAT_3D_June_2022,rnaSPAdes,13010,754,322,11003,931
DT25_CNAT_3H_August_2022,rnaSPAdes,15520,913,329,13290,988
DT25_CNAT_3H_June_2022,rnaSPAdes,16247,799,329,14149,970
DT25_CNAT_3H_Sept_2021,rnaSPAdes,15209,808,257,13324,820
DT25_MCAV_1D_August_2022,rnaSPAdes,12481,1334,507,8849,1791
DT25_MCAV_1H_August_2022,rnaSPAdes,14194,668,269,12133,1124
DT25_MCAV_1H_June_2022,rnaSPAdes,18295,749,303,16333,910
DT25_MCAV_1H_Sept_2021,rnaSPAdes,18538,1338,544,14964,1692
DT25_MCAV_2D_August_2022,rnaSPAdes,12291,1032,400,9611,1248
DT25_MCAV_2H_August_2022,rnaSPAdes,8078,1861,773,2885,2559
DT25_MCAV_2H_June_2022,rnaSPAdes,17267,1455,582,13342,1888
DT25_MCAV_2H_Sept_2021,rnaSPAdes,16758,1257,589,13253,1659
DT25_MCAV_3H_August_2022,rnaSPAdes,3167,514,237,1168,1248
DT25_MCAV_3H_June_2022,rnaSPAdes,16067,751,272,14094,950
DT25_MCAV_3H_Sept_2021,rnaSPAdes,20936,888,293,18620,1135
DT25_OFAV_1H_August_2022,rnaSPAdes,16859,808,266,14774,1011
DT25_OFAV_1H_June_2022,rnaSPAdes,21235,2383,754,15690,2408
DT25_OFAV_1H_Sept_2021,rnaSPAdes,26595,2878,848,20531,2338
DT25_OFAV_2H_August_2022,rnaSPAdes,5392,360,136,4307,589
DT25_OFAV_2H_June_2022,rnaSPAdes,20959,1182,407,18023,1347
DT25_OFAV_2H_Sept_2021,rnaSPAdes,26473,2238,600,21694,1941
DT25_OFAV_3H_August_2022,rnaSPAdes,17914,1278,443,14663,1530
DT25_OFAV_3H_June_2022,rnaSPAdes,17345,1607,518,13605,1615
DT25_OFAV_3H_Sept_2021,rnaSPAdes,21010,1545,467,17503,1495
DT25_OFRA_1H_August_2022,rnaSPAdes,25713,2198,640,20968,1907
DT25_OFRA_1H_June_2022,rnaSPAdes,21300,1164,349,18571,1216
DT25_OFRA_1H_Sept_2021,rnaSPAdes,17666,2461,837,12100,2268
DT25_OFRA_2H_August_2022,rnaSPAdes,13409,743,322,11261,1083
DT25_OFRA_2H_June_2022,rnaSPAdes,14979,571,171,13654,583
DT25_OFRA_2H_Sept_2021,rnaSPAdes,19153,788,282,17177,906
DT25_OFRA_3H_August_2022,rnaSPAdes,26456,2869,690,20907,1990
DT25_OFRA_3H_June_2022,rnaSPAdes,23403,1838,427,19541,1597
