Sample,Total Reads,Unclassified reads,Classified reads,Virus reads,(Virus reads/classified reads)*100
DT25_CNAT_1H_Sept_2021,1927861.00,1876504.00,51357.00,157.00,0.306
DT25_CNAT_2D_August_2022,66606447.00,64678026.00,1928421.00,11249.00,0.583
DT25_CNAT_2D_June_2022,7486655.00,7264160.00,222495.00,890.00,0.400
DT25_CNAT_2H_August_2022,67558717.00,65657682.00,1901035.00,10998.00,0.579
DT25_CNAT_2H_June_2022,128375764.00,124621279.00,3754485.00,20533.00,0.547
DT25_CNAT_2H_Sept_2021,38308310.00,36230191.00,2078119.00,17276.00,0.831
DT25_CNAT_3D_June_2022,4497764.00,4387638.00,110126.00,337.00,0.306
DT25_CNAT_3H_August_2022,4755019.00,4633258.00,121761.00,514.00,0.422
DT25_CNAT_3H_June_2022,4949179.00,4816246.00,132933.00,489.00,0.368
DT25_CNAT_3H_Sept_2021,2108761.00,2059871.00,48890.00,152.00,0.311
DT25_MCAV_1D_August_2022,114706744.00,111143262.00,3563482.00,17798.00,0.499
DT25_MCAV_1H_June_2022,4489615.00,4323683.00,165932.00,480.00,0.289
DT25_MCAV_1H_Sept_2021,1837610.00,1771784.00,65826.00,181.00,0.275
DT25_MCAV_2D_August_2022,106157821.00,101485432.00,4672389.00,16794.00,0.359
DT25_MCAV_2H_August_2022,112798768.00,108777442.00,4021326.00,17137.00,0.426
DT25_MCAV_2H_June_2022,14687301.00,14225941.00,461360.00,2511.00,0.544
DT25_MCAV_2H_Sept_2021,1283984.00,1241228.00,42756.00,113.00,0.264
DT25_MCAV_3H_August_2022,95368577.00,92214579.00,3153998.00,14162.00,0.449
DT25_MCAV_3H_June_2022,5391535.00,5215366.00,176169.00,509.00,0.289
DT25_MCAV_3H_Sept_2021,3184979.00,3073539.00,111440.00,278.00,0.249
DT25_OFAV_1H_June_2022,4954092.00,4743073.00,211019.00,586.00,0.278
DT25_OFAV_1H_Sept_2021,35151055.00,33415167.00,1735888.00,6791.00,0.391
DT25_OFAV_2H_August_2022,110741117.00,103982576.00,6758541.00,20762.00,0.307
DT25_OFAV_2H_June_2022,1914656.00,1808158.00,106498.00,224.00,0.210
DT25_OFAV_2H_Sept_2021,4178453.00,3934554.00,243899.00,514.00,0.211
DT25_OFAV_3H_August_2022,129870397.00,124764985.00,5105412.00,22263.00,0.436
DT25_OFAV_3H_Sept_2021,2226479.00,2143362.00,83117.00,170.00,0.205
DT25_OFRA_1H_August_2022,56075515.00,53590340.00,2485175.00,10544.00,0.424
DT25_OFRA_1H_June_2022,69711140.00,66942538.00,2768602.00,13281.00,0.480
DT25_OFRA_1H_Sept_2021,119590336.00,112837882.00,6752454.00,23914.00,0.354
DT25_OFRA_2H_August_2022,102263620.00,97344236.00,4919384.00,17648.00,0.359
DT25_OFRA_2H_June_2022,5811220.00,5548868.00,262352.00,706.00,0.269
DT25_OFRA_2H_Sept_2021,6184948.00,5909884.00,275064.00,663.00,0.241
DT25_OFRA_3H_August_2022,68540647.00,65308954.00,3231693.00,12511.00,0.387
DT25_OFRA_3H_June_2022,2739312.00,2600914.00,138398.00,338.00,0.244
DT25_OFRA_3H_Sept_2021,41153164.00,39203066.00,1950098.00,7557.00,0.388
DT26_CNAT_1H_August_2022,4880966.00,4741947.00,139019.00,460.00,0.331
DT26_CNAT_1H_June_2022,32311576.00,31360997.00,950579.00,4978.00,0.524
DT26_CNAT_1H_Sept_2021,251986.00,245282.00,6704.00,15.00,0.224
DT26_CNAT_2D_June_2022,67311722.00,65387270.00,1924452.00,10913.00,0.567
DT26_CNAT_2H_August_2022,83707178.00,81272988.00,2434190.00,13120.00,0.539
DT26_CNAT_2H_June_2022,6272539.00,6107797.00,164742.00,649.00,0.394
DT26_CNAT_2H_Sept_2021,3805966.00,3701326.00,104640.00,283.00,0.270
DT26_CNAT_3D_August_2022,58329852.00,56632705.00,1697147.00,9458.00,0.557
DT26_CNAT_3D_June_2022,5056153.00,4915657.00,140496.00,483.00,0.344
DT26_CNAT_3H_August_2022,49959730.00,48533999.00,1425731.00,8018.00,0.562
DT26_CNAT_3H_June_2022,1130990.00,1102663.00,28327.00,94.00,0.332
DT26_CNAT_3H_Sept_2021,49247235.00,47657221.00,1590014.00,7859.00,0.494
DT26_MCAV_1H_August_2022,51036192.00,49292295.00,1743897.00,8612.00,0.494
DT26_MCAV_1H_June_2022,53330014.00,51419947.00,1910067.00,9198.00,0.482
DT26_MCAV_1H_Sept_2021,207507.00,200053.00,7454.00,15.00,0.201
DT26_MCAV_2D_August_2022,2691882.00,2597900.00,93982.00,218.00,0.232
DT26_MCAV_2D_June_2022,60227181.00,58244439.00,1982742.00,9223.00,0.465
DT26_MCAV_2H_June_2022,4754392.00,4596584.00,157808.00,436.00,0.276
DT26_MCAV_2H_Sept_2021,513539.00,497389.00,16150.00,43.00,0.266
DT26_MCAV_3H_August_2022,5030453.00,4856163.00,174290.00,502.00,0.288
DT26_MCAV_3H_June_2022,42636819.00,41225819.00,1411000.00,6439.00,0.456
